food_id,name,tags,ingredients,cook_time,img_url
240,Koldil Chicken,spicy main course Assam non vegetarian,Not available,Not available,
241,Konir Dom,spicy main course Assam non vegetarian,Not available,Not available,
242,Koldil Duck,spicy main course Assam non vegetarian,Not available,Not available,
243,Masor Koni,spicy main course Assam non vegetarian,Not available,Not available,
244,Mishti Chholar Dal,sweet main course West Bengal vegetarian,Not available,Not available,
245,Pakhala,-1 main course Odisha vegetarian,Not available,Not available,
246,Pani Pitha,-1 main course Assam vegetarian,Not available,Not available,
247,Payokh,sweet dessert Assam vegetarian,Not available,Not available,
248,Prawn malai curry,spicy main course West Bengal non vegetarian,Not available,Not available,
249,Red Rice,-1 main course -1 vegetarian,Not available,Not available,
250,Shukto,spicy main course West Bengal vegetarian,Not available,Not available,
251,Til Pitha,sweet dessert Assam vegetarian,Not available,Not available,
252,Bebinca,sweet dessert Goa vegetarian,Not available,Not available,
253,Shufta,sweet dessert Jammu & Kashmir vegetarian,Not available,Not available,
254,Mawa Bati,sweet dessert Madhya Pradesh vegetarian,Not available,Not available,
255,Pinaca,sweet dessert Goa vegetarian,Not available,Not available,
256,Baingan Fry,spicy main course Punjab vegetarian,Not available,Not available,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/baingan-bharta-1-500x500.jpg
