food_id,name,tags,ingredients,cook_time,img_url,diet,dish_family,soup
104,Mushroom matar,spicy main course Punjab vegetarian,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",30,,veg,other,"mushroom_matar mushroom_matar mushroom_matar Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes spicy main course Punjab vegetarian"
105,Naan,-1 main course Punjab vegetarian,"Whole wheat flour, honey, butter, garlic",30,,veg,bread,"naan naan naan Whole wheat flour, honey, butter, garlic main course Punjab vegetarian"
106,Navrattan korma,spicy main course Uttar Pradesh vegetarian,"Green beans, potatoes, khus khus, low fat, garam masala powder",40,,veg,curry,"navrattan_korma navrattan_korma navrattan_korma Green beans, potatoes, khus khus, low fat, garam masala powder spicy main course Uttar Pradesh vegetarian"
107,Palak paneer,spicy main course Punjab vegetarian,"Cottage cheese, palak, cream, garam masala, butter",40,,veg,other,"palak_paneer palak_paneer palak_paneer Cottage cheese, palak, cream, garam masala, butter spicy main course Punjab vegetarian"
108,Paneer butter masala,spicy main course Punjab vegetarian,"Paneer, whipping cream, garam masala, cashew nuts, butter",40,,veg,curry,"paneer_butter_masala paneer_butter_masala paneer_butter_masala Paneer, whipping cream, garam masala, cashew nuts, butter spicy main course Punjab vegetarian"
109,Paneer tikka masala,spicy main course Punjab vegetarian,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",40,,veg,curry,"paneer_tikka_masala paneer_tikka_masala paneer_tikka_masala Paneer, greek yogurt, tandoori masala, cream, bell pepper spicy main course Punjab vegetarian"
110,Pani puri,spicy snack -1 vegetarian,"Kala chana, mashed potato, boondi, sev, lemon",2,,veg,bread,"pani_puri pani_puri pani_puri Kala chana, mashed potato, boondi, sev, lemon spicy snack  vegetarian"
111,Panjeeri,sweet dessert Uttar Pradesh vegetarian,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",25,,veg,other,"panjeeri panjeeri panjeeri Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina sweet dessert Uttar Pradesh vegetarian"
112,Papad,spicy snack -1 vegetarian,"Urad dal, sev, lemon juice, chopped tomatoes",5,,veg,other,"papad papad papad Urad dal, sev, lemon juice, chopped tomatoes spicy snack  vegetarian"
113,Paratha,spicy main course Punjab vegetarian,"Wheat flour, butter, potato, coriander",45,,veg,bread,"paratha paratha paratha Wheat flour, butter, potato, coriander spicy main course Punjab vegetarian"
114,Pattor,spicy main course Rajasthan vegetarian,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",30,,veg,other,"pattor pattor pattor Arbi ke patte, sesame seeds, gur, bengal gram flour, imli spicy main course Rajasthan vegetarian"
115,Pindi chana,spicy main course Punjab vegetarian,"Fennel, tea bags, tomato, kasuri methi, cinnamon",120,,veg,other,"pindi_chana pindi_chana pindi_chana Fennel, tea bags, tomato, kasuri methi, cinnamon spicy main course Punjab vegetarian"
116,Rajma chaval,spicy main course -1 vegetarian,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",90,,veg,other,"rajma_chaval rajma_chaval rajma_chaval Red kidney beans, garam masala powder, ginger, tomato, mustard oil spicy main course  vegetarian"
117,Rongi,-1 main course Punjab vegetarian,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",30,,veg,other,"rongi rongi rongi Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil main course Punjab vegetarian"
118,Samosa,spicy snack -1 vegetarian,"Potatoes, green peas, garam masala, ginger, dough",30,,veg,snack,"samosa samosa samosa Potatoes, green peas, garam masala, ginger, dough spicy snack  vegetarian"
119,Sattu ki roti,spicy main course Bihar vegetarian,"Sattu, atta, dough, filling, mustard oil",20,,veg,bread,"sattu_ki_roti sattu_ki_roti sattu_ki_roti Sattu, atta, dough, filling, mustard oil spicy main course Bihar vegetarian"
120,Shahi paneer,spicy main course Punjab vegetarian,"Cottage cheese, malai, garam masala, ginger, tomato",40,,veg,other,"shahi_paneer shahi_paneer shahi_paneer Cottage cheese, malai, garam masala, ginger, tomato spicy main course Punjab vegetarian"
